nom	genre	editeur	date_sortie
Assassin's Creed Odyssey	Action-adventure	Ubisoft	Oct 5, 2018
Assassin's Creed: Origins	Action-adv, stealth	Ubisoft	Oct 27, 2017
Assassin's Creed Rogue Remastered	Action-adventure	Ubisoft	Mar 20, 2018
Assassin's Creed Syndicate	Action-adv, stealth	Ubisoft	Oct 23, 2015
Assassin's Creed: The Ezio Collection	Action-adventure	Ubisoft	Nov 15, 2016
Assassin's Creed Unity	Action-adv, stealth	Ubisoft	Nov 13, 2014
Assault Android Cactus	Shoot 'em up	Witch Beam	Mar 8, 2016
Assault Suit Leynos	Shooter	Extreme	Jul 14, 2016
The Assembly	Adventure	nDreams	Oct 13, 2016
Assetto Corsa	Racing	505 Games	Aug 26, 2016
Astraea	City-building	Norwind Int	TBA
Atari Flashback Classics: Volume 1	Arcade	Atari	Jan 18, 2017
Atari Flashback Classics: Volume 2	Arcade	Atari	Jan 18, 2017
Atari Flashback Classics: Volume 3	Arcade	Atari	TBA
Atelier Firis: The Alchemist and the Mysterious Journey	RPG	Koei Tecmo	Mar 7, 2017
Atelier Lydie & Suelle: Alchemists of the Mysterious Painting	RPG	Koei Tecmo	Mar 30, 2018
Atelier Sophie: The Alchemist of the Mysterious Book	RPG	Tecmo Koei	Jun 10, 2016
Attack on Titan	Action	Koei Tecmo	Aug 26, 2016
Attack on Titan 2	Action	Koei Tecmo	Mar 20, 2018
Attractio	First-person, puzzle	Bandai Namco Ent.	Feb 17, 2016
ATV Drift & Tricks	Racing	Funbox Media	Oct 26, 2017
Aven Colony	Simulation	Team17	Jul 25, 2017
Away: Journey to the Unexpected	Roguelike	Playdius Ent.	Feb 5, 2019
A Way Out	Action-adventure	Electronic Arts	Mar 23, 2018
Awesomenauts Assemble	Battle arena	Ronimo Games	Mar 5, 2014
Axiom Verge	Metroidvania	Thomas Happ Games	Mar 31, 2015
Azkend 2: The World Beneath	Puzzle	10tons	May 4, 2016
Aztez	Turn-based strategy	Team Colorblind	TBA
Babylon's Fall	Action-adventure	Square Enix	2019
Backgammon Blitz	Board game	VooFoo Studios	Dec 18, 2013
Back to Bed	Puzzle	Loot Ent	Aug 25, 2015
Back to the Future: The Game – 30th Anniversary Edition	Adventure	Telltale Games	Oct 13, 2015
Badass Hero	Action, platform	Awesome Games	2018
Badland: Game of the Year Edition	Platform	Frogmind	May 28, 2015
Baja: Edge of Control HD	Racing	THQ Nordic	Sep 14, 2017
The Banner Saga	Tactical role-playing	Versus Evil	Jan 12, 2016
The Banner Saga 2	Tactical role-playing	Versus Evil	Jul 5, 2016
The Banner Saga 3	Tactical role-playing	Versus Evil	Jul 26, 2018
The Bard's Tale IV: Barrows Deep	Dungeon crawler	inXile Entertainment	TBA
Bastion	RPG	Warner. Bros. Int. Ent.	Apr 8, 2015
Basement Crawl	Action, strategy	Bloober Team	Feb 26, 2014
Batman: Arkham Knight	Action-adventure	Warner Bros Int Ent	Jun 23, 2015
Batman: Return to Arkham	Action-adventure	Warner Bros. Int. Ent.	Oct 18, 2016
Batman: The Telltale Series	Graphic adventure	Telltale Games	Aug 2, 2016
Batman: The Enemy Within	Graphic adventure	Telltale Games	Aug 8, 2017
Battalion 1944	First-person shooter	Square Enix	TBA
Battle Chasers: Nightwar	RPG	Nordic Games	Oct 3, 2017
Battlefield 1	First-person shooter	Electronic Arts	Oct 21, 2016
Battlefield 4	First-person shooter	Electronic Arts	Nov 29, 2013
Battlefield V	First-person shooter	Electronic Arts	Oct 19, 2018
Battlefield Hardline	First-person shooter	Electronic Arts	Mar 19, 2015
Battle Garegga Rev.2016	Shoot 'em up	M2	Unreleased
Battle of the Bulge	Strategy	Slitherine Software	Nov 22, 2017
Battleship	Strategy	Ubisoft	Aug 12, 2016
Battlestar Galactica: Deadlock	Strategy	Black Lab Games	Dec 8, 2017
Battle Worlds: Kronos	Turn-based strategy	Nordic Games	Apr 26, 2016
Bears Can't Drift!?	Racing	Strangely Named	Aug 9, 2016
Beast Quest	RPG	Maximum Games	Mar 16, 2018
Beat the Game	Adventure	Worm Animation	TBA
Bedlam	First-person shooter	Standfast Int.	Oct 14, 2015
Ben 10	Action-adventure	Bandai Namco Ent.	Nov 10, 2017
Bendy and the Ink Machine	Action, horror, puzzle	Rooster Teeth Games	Nov 20, 2018
Berserk and the Band of the Hawk	Action RPG, hack and slash	Koei Tecmo	Feb 24, 2017
Beyond Eyes	Adventure	Team17	Sep 8, 2015
Beyond: Two Souls	Interactive drama	Sony Computer Ent.	Nov 26, 2015
Big Bash Boom	Sports	Big Ant Studios
Binaries	Platform, puzzle	Ground Shatter	Aug 30, 2016
The Binding of Isaac: Rebirth	Action-adv, roguelike	Nicalis	Nov 5, 2014
Biomutant	Action RPG	THQ Nordic	2019
BioShock: The Collection	First-person shooter	2K Games	Sep 16, 2016
Birthdays the Beginning	Strategy	NIS America	May 12, 2017
The Bit.Trip	Action	Choice Provisions	Dec 5, 2015
Black & White Bushido	Brawler, stealth	Endemol	May 17, 2017
Black the Fall	Puzzle-platform	Square Enix	Jul 11, 2017
Blade Strangers	Fighting	Nicalis	Aug 28, 2018
Blackguards: Definitive Edition	Turn-based tactics	Kalypso Media	TBA
Black Desert Online	MMORPG	Pearl Abyss	2019
Blackguards 2	Turn-based tactics	Kalypso Media	Sep 15, 2017
Blackhole: Complete Edition	Platform, puzzle	FiolaSoft Studio	Aug 8, 2017
Blackwood Crossing	Adventure	PaperSeven	Apr 4, 2017
Blade Arcus from Shining EX	Fighting	Sega	Unreleased
Blade Ballet	Action, battle	DreamSail Games	Unreleased
Bladestorm: Nightmare	Real-time tactics	Koei Tecmo	Mar 20, 2015
Blast 'Em Bunnies	Shooter	Nnooo	Mar 9, 2016
Blast Brawl 2	Fighting, platform	Mind's Eye Games	TBA
Blasting Agent Ultimate Edition	Platform, shooter	Ratalaika Games	TBA
BlazBlue: Central Fiction	Fighting	Aksys Games	Nov 4, 2016
BlazBlue Chrono Phantasma Extend	Fighting	Aksys Games	Oct 23, 2015
BlazBlue: Cross Tag Battle	Fighting	Arc System Works	Jun 5, 2018
Blazerush	Vehicular combat	Targem Games	Dec 15, 2015
Bleed	Platform	Digerati	Aug 23, 2017
Bleed 2	Platform	Digerati	Feb 6, 2018
Bloodborne	Action RPG	Sony Computer Ent.	Mar 25, 2015
Blood Bowl 2	Sport, turn-based strategy	Focus Home Int.	Sep 22, 2015
Bloodstained: Ritual of the Night	Metroidvania	505 Games	2019
Bloons TD 5	Strategy, puzzle	Ninja Kiwi	May 9, 2017
Blue Estate	First-person shooter	Focus Home Int.	Jun 24, 2014
Blue Reflection	RPG	Koei Tecmo	Sep 29, 2017
Blue Rider	Shooter	Ravegan	Sep 9, 2016
Blues and Bullets	Action-adventure	A Crowd of Monsters	Apr 20, 2016
Boiling Bolt	Shoot 'em up	Playdius Ent.	Dec 5, 2017
Bokosuka Wars II	Strategy	Pygmy Studio	Unreleased
Bomber Crew	Simulation, strategy	Curve Digital	Jul 10, 2018
The Book of Unwritten Tales 2	Adventure	505 Games	Sep 18, 2015
Borderlands: The Handsome Collection	First-person shooter	2K Games	Mar 27, 2015
Bound	3D platform, art	Sony Interactive Ent.	Aug 16, 2016
Bound by Flame	Action RPG	Focus Home Int.	May 7, 2014
Boundless	Sandbox	Wonderstruck Games	Sep 11, 2018
Brawl	Action, party	Bloober Team	Apr 28, 2015
Brawlout	Fighting	Angry Mob Games	Aug 21, 2018
The Bridge	Puzzle	TQAG	Aug 18, 2015
Bridge Constructor	Simulation	Headup Games	Dec 14, 2016
Bridge Constructor Portal	Simulation	Headup Games	Feb 28, 2018
Bridge Constructor Stunts	Simulation	Headup Games	Mar 27, 2018
Broforce	Platform, run and gun	Devolver Digital	Mar 1, 2016
Broken Age: The Complete Adventure	Point-and-click adventure	Double Fine Prod.	Apr 29, 2015
Broken Sword 5	Point-and-click adventure	Revolution Software	Sep 4, 2015
Brothers: A Tale of Two Sons	Puzzle, adventure	505 Games	Aug 12, 2015
Brutal	Action RPG	Stormcloud Games	Aug 9, 2016
Bubsy: Paws on Fire!	Platformer	Accolade	2019
Bubsy: The Woolies Strike Back	Platform	Accolade	Oct 31, 2017
The Bug Butcher	Action	Triangle Studios	Oct 18, 2016
BugsBox	Action, puzzle	Park ESM	Jun 5, 2017
Bulletstorm: Full Clip Edition	First-person shooter	Gearbox Software	Apr 7, 2017
Burnout Paradise Remastered	Racing	Electronic Arts	Mar 16, 2018
Bush Hockey League	Sport	V7 Ent.	Mar 28, 2017
Butcher	Shooter	Crunching Koalas	May 9, 2017
Caladrius Blaze	Shoot 'em up	H2 Interactive	Aug 9, 2016
The Caligula Effect: Overdose	RPG	FuRyu	Unreleased
Call of Cthulhu	Adventure, horror	Focus Home Int.	Oct 30, 2018
Call of Duty: Advanced Warfare	First-person shooter	Activision	Nov 4, 2014
Call of Duty: Black Ops III	First-person shooter	Activision	Nov 6, 2015
Call of Duty: Black Ops IIII	First-person shooter	Activision	Oct 12, 2018
Call of Duty: Ghosts	First-person shooter	Activision	Nov 29, 2013
Call of Duty: Infinite Warfare	First-person shooter	Activision	Nov 4, 2016
Call of Duty: Modern Warfare Remastered	First-person shooter	Activision	Nov 4, 2016
Call of Duty: WWII	First-person shooter	Activision	Nov 3, 2017
Calvino Noir	Adventure	Calvino Noir	Aug 25, 2015
Candlelight	Platform	Pixel Maverick	Unreleased
Candleman: The Complete Journey	Puzzle	Zodiac Interactive	Aug 21, 2018
Cannon Brawl	2D, action, strategy	Turtle Sandbox	Aug 2, 2016
Capsule Force	Action	Iron Galaxy Studios	Jul 23, 2015
Carmageddon: Max Damage	Vehicular combat	Stainless Games	Jul 8, 2016
Cars 3: Driven to Win	Racing	Warner Bros.	Jul 14, 2017
Car Mechanic Simulator 2018	Simulation	PlayWay S.A.	TBA
Cartoon Network: Battle Crashers	Beat em up	GameMill Ent.	Nov 8, 2016
Casey Powell Lacrosse 16	Sport	Big Ant Studios	Mar 9, 2016
The Castle Game	Tower defense	Neptune Inc	Aug 5, 2015
Castles	Puzzle	BadLand Indie	Jun 29, 2016
CastleStorm: Definitive Edition	Strategy	Zen Studios	Oct 15, 2014
Castlevania Requiem	Platform-adventure	Konami	Oct 26, 2018
Catherine: Full Body	Puzzle-platform	Atlus	2019
Catlateral Damage	Simulation	Fire Hose Games	Jun 13, 2016
Cat Quest	RPG	PQube	Nov 10, 2017
Cel Damage HD	Racing	Finish Line Games	May 14, 2014
Celeste	Platform	Matt Makes Games	Jan 25, 2018
Chambara	Action	USC Games	Unreleased
Chaos;Child	Visual novel	5pb.	Oct 13, 2017
Chaos Code: New Sign of Catastrophe	Fighting	Arc System Works	Mar 15, 2017
Chaos on Deponia	Point-and-click adventure	Daedalic Ent.	Dec 6, 2017
Chariot	Adventure, platform	Frima Studio	Oct 29, 2014
Chasm	RPG, platform	Discord Games	Jul 31, 2018
Check-in, Knock-out	Fighting, platform	tinyBuild	2018
Chess Ultra	Chess	Ripstone Ltd	Jun 21, 2017
Child of Light	RPG	Ubisoft	Apr 30, 2014
Children of Morta	Hack and slash	Dead Mage	TBA
Children of Zodiarcs	Tactical RPG	Square Enix	Jul 18, 2017
Chimparty	Arcade, party	Sony Interactive Ent.	Nov 14, 2018
Chime Sharp	Music, puzzle	Chilled Mouse	Feb 21, 2017
Chivalry: Medieval Warfare	Action	Activision	Dec 1, 2015
ChromaGun	First-Person shooter, puzzle	Pixel Maniacs	Aug 22, 2017
Chroma Squad	Turn-based	Bandai Namco Ent.	May 19, 2017
Chronicles of Teddy: Harmony of Exidus	Adventure	Aksys Games	Mar 29, 2016
The Church in the Darkness	Action	Paranoid Prod.	2018
Cities: Skylines	Simulation	Paradox Interactive	Aug 15, 2017
Citizens of Earth	RPG	Eden Industries	Jan 21, 2015
City Shrouded in Shadow	Action	Bandai Namco Ent.	Unreleased
Claire: Extended Cut	Adventure	Hailstorm Games	Aug 30, 2016
Clannad	Visual novel	Prototype	Unreleased
Claybook	Puzzle	Second Order	2018
Clockwork Tales: Of Glass and Ink	Hidden object	Artifex Mundi	Nov 29, 2016
Clustertruck	Platform	tinyBuild	Sep 27, 2016
Code Vein	Action	Bandai Namco Ent.	2019
Coffin Dodgers	Racing	Wales Interactive	May 3, 2016
Collectems	RPG	The Layabouts	TBA
Comet Crash 2	Real-time strategy	Pelfast	Aug 8, 2017
Commander Cherry's Puzzled Journey	Platform	Grande Games	Aug 11, 2015
Conan Exiles	Open world, survival	Koch Media	May 8, 2018
Concrete Genie	Adventure	Sony Interactive Ent.	2018
Conga Master	Action	Rising Star Games	Jul 21, 2017
Construction Simulator 2 US - Console Edition	Simulation, strategy	astragon Ent.	Sep 12, 2018
Constructor HD	Simulation	System 3	May 26, 2017
Contrast	Platform, puzzle	Compulsion Games	Nov 29, 2013
Control	Third-person shooter	505 Games	2019
Cook, Serve, Delicious! 2	Simulation	Vertigo Gaming	TBA
Cosmic Star Heroine	RPG	Zeboyd Games	Apr 11, 2017
Cosmochoria	Adventure	Curve Digital	TBA
Costume Quest 2	Adventure, RPG	Double Fine Prod.	Oct 31, 2014
The Count Lucanor	Action-adventure	Merge Games	Jan 9, 2018
CounterSpy	Side-scroller, stealth	Sony Computer Ent.	Aug 20, 2014
Crash Bandicoot N. Sane Trilogy	Platform	WW: Activision JP:Sony Interactive Ent.	Jun 30, 2017
Crawl	Roguelike, brawler	Powerhoof	Apr 11, 2017
Crazy Strike Bowling EX	Sport	Corecell Tech	Jun 14, 2016
The Crew	Racing	Ubisoft	Dec 2, 2014
The Crew 2	Racing	Ubisoft	Jun 29, 2018
Crossing Souls	Action-adventure	Devolver Digital	Feb 13, 2018
Crows: Burning Edge	Action-adventure	Bandai Namco Ent.	Unreleased
Cyberdimension Neptunia: 4 Goddesses Online	Action RPG	Compile Heart Idea Factory Int.	Oct 10, 2017
Cyberpunk 2077	Action RPG	CD Projekt Red	TBA
Cryptark	Shoot 'em up	Alientrap	Jun 20, 2017
Crypt of the NecroDancer	Roguelike, rhythm	Brace Yourself Games	Feb 2, 2016
Cubers	Brawler	Teyon	TBA
Cube Life: Island Survival HD	Sandbox	Cypronia	2018
Curses 'N Chaos	Action	Tribute Games	Aug 18, 2015
Daisenryaku: Dai Toua Kouboushi 3	War simulation	SystemSoft Alpha	Unreleased
Dandara	Platform	Raw Fury	Feb 6, 2018
Danganronpa 1&2 Reload	Adventure, visual novel	NIS America	Mar 17, 2017
Danganronpa V3: Killing Harmony	Adventure, visual novel	NIS America	Sep 29, 2017
Dangerous Golf	Sport	Three Fields Ent.	Jun 2, 2016
Danger Zone	Racing	Three Fields Ent.	May 30, 2017
Dangun Feveron	Shoot 'em up	Cave	Apr 4, 2018
Dariusburst Chronicle Saviours	Shoot 'em up	Degica	Dec 8, 2015
Dark Rose Valkyrie	RPG	Idea Factory	Jun 9, 2017
Dark Souls Remastered	Action RPG	Bandai Namco Ent.	May 25, 2018
Dark Souls II	Action RPG	Bandai Namco Ent.	Apr 9, 2015
Dark Souls III	Action RPG	Bandai Namco Ent.	Apr 12, 2016
Darkest Dungeon	Turn-based strategy	Red Hook Studios	Sep 27, 2016
Darksiders: Warmastered Edition	Action RPG	Nordic Games	Nov 22, 2016
Darksiders II: Deathinitive Edition	Action RPG, hack and slash	Nordic Games	Oct 27, 2015
Darksiders III	Action RPG, hack and slash	Nordic Games	Nov 27, 2018
Daylight	Survival horror	Atlus	Apr 30, 2014
Daymare: 1998	Survival horror	Invader Studios	TBA
Day of the Tentacle: Remastered Edition	Graphic adventure	Double Fine Prod.	Mar 22, 2016
Days Gone	Open world, survival	Sony Interactive Ent.	Apr 26, 2019
DayZ	Survival horror	Bohemia Int.	TBA
Dead Alliance	First-person shooter	Maximum Games	Aug 29, 2017
Dead by Daylight	Survival Horror	Starbreeze Studios	Jun 23, 2017
Dead Cells	Action, roguelike	Motion Twin	Aug 7, 2018
Dead Island Definitive Edition	Survival horror	Deep Silver	May 31, 2016
Dead Island: Riptide Definitive Edition	Survival horror	Deep Silver	May 31, 2016
Dead Island 2	Action RPG, survival horror	Deep Silver	TBA
Dead Nation: Apocalypse Edition	Shoot 'em up	Sony Computer Ent.	Mar 5, 2014
Dead or Alive 5 Last Round	Fighting	Koei Tecmo	Feb 20, 2015
Dead or Alive 6	Fighting	Koei Tecmo	Feb 19, 2019
Dead or Alive Xtreme 3	Sport	Koei Tecmo	Unreleased
Deadlight: Director's Cut	Survival horror	Deep Silver	Jun 21, 2016
The Deadly Tower of Monsters	Action-adventure	Atlus	Jan 19, 2016
Deadpool	Action, beat 'em up	Activision	Nov 20, 2016
Dead Rising	Survival horror	Capcom	Sep 13, 2016
Dead Rising 2	Survival horror	Capcom	Sep 13, 2016
Dead Rising 2: Off the Record	Survival horror	Capcom	Sep 13, 2016
Dead Rising 4	Survival horror	Capcom	Dec 5, 2017
Dead Star	Shoot 'em up	Armature Studio	Apr 5, 2016
Dead Synchronicity: Tomorrow Comes Today	Point-and-click adventure	Daedalic Ent.	Apr 10, 2015
Dear Esther	Exploration	Curve Digital	Sep 20, 2016
Death end re;Quest	RPG	Compile Heart	Unreleased
Death Stranding	Action	Sony Computer Int.	TBA
Death Squared	Puzzle	SMG Studios	Mar 14, 2017
Death's Gambit	Action RPG	Adult Swim Games	Aug 14, 2018
De Blob	Platform, puzzle	THQ Nordic	Nov 14, 2017
Deception IV: The Nightmare Princess	Action, strategy RPG	Tecmo Koei	Jul 17, 2015
Defenders of Ekron	Shoot 'em up	In Vitro Games	Aug 15, 2017
Defense Grid 2	Tower defense	505 Games	Oct 1, 2014
Deformers	MOBA	Ready at Dawn	Feb 14, 2017
Deiland	Adventure, RPG	Square Enix	TBA
Demetrios: The Big Cynical Adventure	Point-and-click adventure	CowCat	May 31, 2016
Demon's Age	RPG	Big Moon Studios	TBA
Demon Gaze II	Dungeon crawler	Kadokawa Games (JP) NIS America (NA/EU)	Nov 14, 2017
Dengeki Bunko: Fighting Climax Ignition	Fighting	Sega	Unreleased
Deponia	Point-and-click adventure	Daedalic Ent.	Dec 1, 2016
Descenders	Sport	No More Robots	2018
Destiny	Action RPG, first-person shooter	Activision	Sep 9, 2014
Destiny 2	Action RPG, first-person shooter	Activision	Sep 6, 2017
Detroit: Become Human	Interactive drama	Sony Computer Ent.	May 25, 2018
Deus Ex: Mankind Divided	First-person shooter, stealth	Square Enix	Aug 23, 2016
Devil May Cry HD Collection	Action-adventure, hack and slash	Capcom	Mar 13, 2018
Devil May Cry 4: Special Edition	Action-adventure, hack and slash	Capcom	Jun 24, 2015
Devil May Cry 5	Action-adventure, hack and slash	Capcom	Mar 8, 2019
Dex	Acton RPG	BadLand Indie	Jul 8, 2016
Diablo III	Action RPG, hack and slash	Blizzard Ent.	Aug 19, 2014
Digimon Story: Cyber Sleuth	RPG	Bandai Namco Ent.	Feb 5, 2016
Digimon Story: Cyber Sleuth - Hacker's Memory	RPG	Bandai Namco Ent.	Jan 19, 2018
Digimon Survive	Role-playing	Bandai Namco Entertainment	2019
Digimon World: Next Order	RPG	Bandai Namco Ent.	Jan 27, 2017
Dirt 4	Racing	Codemasters	Jun 9, 2017
Dirt Rally	Racing	Codemasters	Apr 5, 2016
Disc Jam	Action, sport	High Horse Ent.	Mar 7, 2017
Disgaea 1 Complete	Tactical RPG	Nippon Ichi Software	Oct 12, 2018
Disgaea 5 Complete	Tactical RPG	Nippon Ichi Software	Oct 16, 2015
Dishonored: Definitive Edition	Action	Bethesda Softworks	Aug 28, 2015
Dishonored 2	Action	Bethesda Softworks	Nov 11, 2016
Dishonored: Death of the Outsider	Action	Bethesda Softworks	Sep 15, 2017
The Disney Afternoon Collection	Platform	Capcom	Apr 18, 2017
Disney Infinity: Marvel Super Heroes	Action-adventure	Disney Int. Studios	Sep 18, 2014
Disney Infinity 3.0	Action-adventure	Disney Int. Studios	Aug 28, 2015
Dissidia Final Fantasy NT	Fighting	Square Enix	Jan 30, 2018
Distance	Racing	Refract Studios	2018
Divekick	Fighting	Iron Galaxy Studios	Oct 7, 2014
Divide	Action-adventure	Exploding Tuba Studios	Jan 31, 2017
Divinity: Original Sin	RPG	Focus Home Int.	Oct 27, 2015
Divinity: Original Sin II	RPG	Larian Studios	Aug 31, 2018
DJMax Respect	Rhythm	Neowiz Games	Unreleased
DmC: Devil May Cry Definitive Edition	Action-adventure, hack and slash	Capcom	Mar 10, 2015
Dogos	Shooter	Opqam	Sep 6, 2016
Doki-Doki Universe	Adventure	HumaNature Studios	Dec 10, 2013
Dollhouse	Horror	Soedesco	2018
Donut County	Puzzle	Annapurna Int.	Aug 28, 2018
Doodle Devil	Puzzle	8Floor	Mar 23, 2016
Doodle God	Puzzle	4Hit	Jan 29, 2016
Don Bradman Cricket	Sport	Home Ent. Suppliers	Assorted
Don Bradman Cricket 17	Sport	Tru Blu Ent.	Dec 16, 2016
Don't Die, Mr. Robot!	Action	Infinite State Games	Mar 8, 2016
Don't Starve	Action-adventure	Klei Ent.	Jan 8, 2014
Don't Starve Together	Action-adventure	Klei Ent.	Sep 13, 2017
Doom	First-person shooter	Bethesda Softworks	May 13, 2016
Doom Eternal	First-person shooter	Bethesda Softworks	TBA
Downwell	Platform, vertically scrolling shooter	Devolver Digital	May 24, 2016
Dragon Age: Inquisition	RPG	Electronic Arts	Nov 21, 2014
Dragon Ball FighterZ	Fighting	Bandai Namco Ent.	Jan 26, 2018
Dragon Ball Xenoverse	Fighting	Bandai Namco Ent.	Feb 13, 2015
